user_id,campaign_id,click_time,ad_impressions,ad_clicks,ad_spend,engagement_duration
328,15,2023-01-13,96,6,11.98,5
380,36,2023-05-06,88,7,14.02,43
115,18,2023-02-22,111,3,2.88,5
347,95,2023-10-07,101,4,8.12,3
45,76,2023-08-05,94,4,9.85,4
17,4,2023-02-17,100,2,4.04,1
112,30,2023-09-16,94,6,9.6,3
309,4,2023-10-15,100,8,9.18,43
102,92,2023-11-29,94,5,4.81,87
360,70,2023-08-03,115,9,6.49,9
113,58,2023-10-29,76,3,3.54,26
143,1,2023-03-23,96,5,4.26,40
358,55,2023-06-24,108,1,2.54,6
143,20,2023-04-21,107,2,2.79,1
491,98,2023-06-22,113,5,3.29,9
53,12,2023-07-14,95,5,13.59,15
50,46,2023-06-26,86,6,11.42,44
310,34,2023-01-23,100,4,2.25,2
374,59,2023-10-02,94,8,8.99,21
64,49,2023-02-10,108,2,2.45,1
283,38,2023-11-18,118,7,18.75,56
317,47,2023-10-23,90,5,12.59,56
99,91,2023-02-05,94,3,4.7,25
24,85,2023-04-27,112,6,9.26,7
396,38,2023-02-10,86,8,10.46,29
438,30,2023-02-21,106,10,29.06,14
195,36,2023-08-21,100,4,2.37,18
326,47,2023-03-25,100,4,11.08,5
190,46,2023-04-18,88,9,9.95,50
344,35,2023-12-26,108,7,9.94,35
480,88,2023-11-28,104,2,5.18,3
37,78,2023-11-22,90,5,10.97,0
88,69,2023-05-06,100,6,5.62,35
84,60,2023-07-14,97,3,4.06,1
139,82,2023-12-19,118,4,8.6,33
286,29,2023-12-17,102,3,2.2,34
167,99,2023-01-29,115,5,6.87,32
118,5,2023-06-11,115,7,14.74,3
206,35,2023-02-03,89,5,2.61,2
109,73,2023-06-11,105,3,5.62,17
109,84,2023-09-13,104,6,6.56,11
203,83,2023-08-23,108,8,17.15,33
74,34,2023-03-13,84,3,3.33,54
127,96,2023-10-15,97,5,12.44,17
276,34,2023-10-27,102,3,6.92,4
220,75,2023-07-24,96,8,12.56,136
186,29,2023-03-12,94,7,9.05,6
261,64,2023-02-16,102,6,11.55,3
387,7,2023-02-26,87,7,16.46,41
79,81,2023-03-23,106,4,10.09,33
406,88,2023-08-05,100,7,14.87,42
306,9,2023-07-17,95,2,3.89,0
196,77,2023-08-28,99,4,7.91,0
271,33,2023-10-11,96,5,12.12,6
441,2,2023-12-15,104,2,3.66,7
370,15,2023-12-16,104,10,17.91,19
454,69,2023-05-17,109,5,3.48,0
394,83,2023-06-24,106,3,2.67,4
58,38,2023-08-11,101,6,7.2,92
81,59,2023-01-02,107,6,9.29,8
489,93,2023-05-15,96,1,0.79,0
498,65,2023-04-02,106,3,5.19,9
260,14,2023-11-17,89,4,8.16,20
153,82,2023-09-17,76,4,7.03,38
312,26,2023-03-20,105,2,4.21,0
192,98,2023-03-24,102,5,7.35,25
277,100,2023-09-29,99,9,13.19,146
471,1,2023-11-03,116,3,2.26,0
166,63,2023-01-10,84,1,1.3,9
58,47,2023-06-07,93,6,12.43,62
123,8,2023-05-04,107,4,3.77,27
450,73,2023-02-10,97,6,8.11,80
44,94,2023-09-06,112,7,16.7,3
418,9,2023-09-30,115,8,10.4,90
393,17,2023-03-07,97,8,5.83,15
338,61,2023-10-09,102,5,6.17,9
85,34,2023-09-28,105,7,17.32,3
447,78,2023-08-05,100,5,8.02,54
494,28,2023-10-04,96,3,7.21,14
387,94,2023-12-20,85,5,3.41,43
103,92,2023-06-09,106,2,5.93,4
205,86,2023-11-29,96,8,23.72,55
192,57,2023-09-22,96,6,11.38,16
232,16,2023-05-07,116,6,3.17,18
116,9,2023-06-23,79,2,4.25,13
11,76,2023-10-11,102,4,4.86,40
118,76,2023-04-23,82,8,14.46,39
4,10,2023-12-29,106,6,11.76,69
324,8,2023-04-28,76,7,19.08,21
35,5,2023-06-19,103,3,4.98,6
37,66,2023-05-02,102,10,29.66,59
143,86,2023-09-06,101,7,15.48,6
110,70,2023-03-09,116,10,23.14,47
371,74,2023-10-23,98,7,4.29,0
243,32,2023-08-31,96,10,8.76,45
414,53,2023-04-08,111,5,7.69,7
49,13,2023-12-04,112,5,4.11,77
221,46,2023-08-05,103,6,12.27,13
211,60,2023-01-28,86,4,9.72,14
345,84,2023-11-27,112,6,16.15,15
51,8,2023-07-26,87,6,12.3,36
373,44,2023-02-25,91,1,1.38,4
128,25,2023-04-08,97,8,10.97,28
275,58,2023-03-13,109,6,15.94,89
217,24,2023-05-23,100,5,14.75,16
237,32,2023-02-08,95,3,2.07,2
227,71,2023-02-20,87,2,4.2,2
26,84,2023-10-04,95,4,8.68,3
429,2,2023-02-17,90,3,3.59,2
475,97,2023-05-02,84,4,4.06,9
86,53,2023-09-06,100,2,5.0,9
247,28,2023-07-25,83,7,4.57,11
463,8,2023-03-26,110,3,3.07,6
195,1,2023-07-19,99,4,6.63,27
136,59,2023-05-27,73,5,13.69,17
217,90,2023-10-12,101,5,9.16,6
339,92,2023-09-07,93,1,1.31,1
80,25,2023-06-01,95,7,13.89,39
112,8,2023-10-24,109,3,5.53,13
377,70,2023-02-01,108,3,3.63,6
383,41,2023-01-30,104,4,11.87,18
26,75,2023-09-02,92,2,2.23,1
258,68,2023-03-22,90,3,8.23,1
30,66,2023-02-11,101,10,7.8,25
436,24,2023-02-05,110,3,6.51,39
305,9,2023-12-12,102,4,9.69,4
442,31,2023-07-26,95,5,5.53,3
62,73,2023-05-07,103,5,4.43,16
297,77,2023-01-21,101,4,3.34,1
318,11,2023-08-03,110,6,14.4,27
337,75,2023-10-17,99,4,11.3,35
268,41,2023-05-14,128,8,22.77,7
105,86,2023-06-10,81,4,10.42,3
123,34,2023-07-22,109,3,2.73,25
68,86,2023-11-27,105,4,10.77,9
154,59,2023-06-11,110,5,8.28,8
476,97,2023-02-07,108,4,11.0,9
5,59,2023-11-15,101,6,4.75,84
289,13,2023-02-07,104,3,7.46,14
276,28,2023-09-17,101,7,6.15,13
136,17,2023-06-28,92,1,1.92,7
452,9,2023-05-06,113,8,6.21,74
190,37,2023-03-22,87,6,5.25,7
225,70,2023-12-27,107,6,13.41,23
155,79,2023-12-01,92,3,8.31,13
271,2,2023-12-08,97,9,7.95,39
419,71,2023-06-03,100,1,2.68,13
478,85,2023-02-23,102,8,18.14,6
481,18,2023-05-16,102,5,11.71,68
60,14,2023-10-11,118,3,8.89,27
80,35,2023-05-25,87,7,12.58,31
310,27,2023-06-25,97,4,10.03,0
105,88,2023-11-21,95,5,14.0,10
437,34,2023-09-16,95,4,4.25,12
251,33,2023-01-27,87,4,6.19,49
48,82,2023-08-05,96,5,2.66,27
425,36,2023-01-23,88,2,5.98,6
2,43,2023-03-08,103,7,7.17,79
327,34,2023-03-24,90,1,1.68,4
380,57,2023-10-10,81,4,7.24,11
362,55,2023-10-15,97,3,2.86,29
5,15,2023-02-08,121,4,8.44,10
484,89,2023-03-18,106,1,1.05,1
280,5,2023-07-09,105,3,7.5,2
299,71,2023-03-17,104,2,2.22,12
221,17,2023-01-22,112,5,10.85,5
158,47,2023-01-21,94,1,0.71,1
461,46,2023-04-18,102,8,20.35,16
350,32,2023-12-08,93,5,5.85,24
53,46,2023-10-14,97,4,4.94,59
453,53,2023-11-14,108,8,13.75,89
384,20,2023-05-02,110,1,1.17,3
443,21,2023-04-01,104,3,7.76,62
452,53,2023-01-13,101,4,2.18,49
92,95,2023-06-20,86,3,5.66,15
401,53,2023-12-09,111,1,0.84,11
443,95,2023-05-08,113,6,12.98,5
137,21,2023-12-26,117,5,8.99,1
56,49,2023-01-20,89,2,4.02,2
